model_name,dataset,acc,pre,recall,f1
LogisticRegression,val,0.9859355345082147,0.9208357515094285,0.759446289835676,0.8029895778416455
LogisticRegression,test,0.45093590225645147,0.20033782811652887,0.26466844070372375,0.14905090192047066
LightGBM,val,0.9970233084042738,0.9325015382731996,0.9482503041374454,0.939234161211334
LightGBM,test,0.9974090353140491,0.9348879776416523,0.960048136488961,0.9468395241746376
DistilBERT_SFT,val,0.94,0.5415139169198777,0.6464802739216802,0.5568709602309205
DistilBERT_SFT,test,0.947,0.5084210786146364,0.6293367801725724,0.546055279090803
